iter	MultiClass
256	0.3600899502
257	0.3600644338
258	0.3600483027
259	0.3600328283
260	0.3600162995
261	0.3599941181
262	0.359977005
263	0.3599543999
264	0.3599384327
265	0.3599234892
266	0.359907941
267	0.3598866441
268	0.3598697172
269	0.3598529683
270	0.3598340952
271	0.3598196028
272	0.3598037168
273	0.359788058
274	0.3597723854
275	0.3597414821
276	0.359726505
277	0.3597027815
278	0.3596835384
279	0.3596677462
280	0.3596468812
281	0.3596306229
282	0.3596144953
283	0.3595984524
284	0.3595812418
285	0.3595592913
286	0.3595406241
287	0.359527197
288	0.3595080908
289	0.3594812528
290	0.3594631449
291	0.3594436348
292	0.3594251099
293	0.3594084124
294	0.3593848243
295	0.359366093
296	0.3593444986
297	0.3593274734
298	0.3593097897
299	0.3592928524
300	0.3592771489
301	0.3592622225
302	0.3592395817
303	0.359217863
304	0.3592003653
305	0.3591826182
306	0.3591659345
307	0.3591507334
308	0.3591339027
309	0.3590579903
310	0.3590375517
311	0.3590208023
312	0.3590037573
313	0.3588936459
314	0.3588771224
315	0.3588587491
316	0.3588442929
317	0.3588290985
318	0.3588155843
319	0.3587977655
320	0.3587816248
321	0.3587595356
322	0.3587458415
323	0.3587299674
324	0.358715162
325	0.3586989857
326	0.3586831819
327	0.3586667879
328	0.3586399628
329	0.3586183873
330	0.3586035354
331	0.3585900827
332	0.3585723796
333	0.3585567307
334	0.3585405933
335	0.3585272101
336	0.3585054604
337	0.358486084
338	0.3584055129
339	0.3583897875
340	0.3583662188
341	0.3583515778
342	0.3583328943
343	0.3583172942
344	0.3582905935
345	0.3582731313
346	0.3582609938
347	0.358241047
348	0.3582260038
349	0.3582014905
350	0.35818615
351	0.3581724431
352	0.3580657858
353	0.3580468626
354	0.3580140483
355	0.3579991764
356	0.3579848096
357	0.3579715887
358	0.3579454452
359	0.357933641
360	0.3579161117
361	0.3578981473
362	0.3578804477
363	0.3578609313
364	0.3578466118
365	0.3578220241
366	0.357763105
367	0.3577420177
368	0.357723003
369	0.357706702
370	0.3576882016
371	0.3576714638
372	0.3576505826
373	0.3576352542
374	0.357618958
375	0.3576054976
376	0.3575926891
377	0.3575757957
378	0.3575570533
379	0.357439939
380	0.3574238668
381	0.3574036665
382	0.357236999
383	0.3572217492
384	0.3571413108
385	0.3571270517
386	0.3571105714
387	0.3570926716
388	0.3570728438
389	0.3570591247
390	0.3570461974
391	0.3570303715
392	0.357013747
393	0.3569979298
394	0.3569804592
395	0.3569652952
396	0.3568371743
397	0.3568164129
398	0.3568016077
399	0.3567873737
400	0.3567685478
401	0.3567469034
402	0.3567369425
403	0.3567213754
404	0.3567015543
405	0.3566874966
406	0.3566673405
407	0.3566409544
408	0.3566257064
409	0.3566097259
410	0.3564940339
411	0.3564769056
412	0.3564607704
413	0.3564400912
414	0.356424138
415	0.3563910684
416	0.3563771275
417	0.356358695
418	0.3563370716
419	0.3563144716
420	0.3563002881
421	0.3562844655
422	0.3562677982
423	0.3561028086
424	0.356003748
425	0.3559833335
426	0.3559666657
427	0.3558941856
428	0.3558797592
429	0.3558588135
430	0.3558414792
431	0.3558268957
432	0.3558152242
433	0.3558030241
434	0.3557852122
435	0.3557666992
436	0.3557504601
437	0.3557325235
438	0.3557128526
439	0.355696321
440	0.3556817974
441	0.3556675459
442	0.3556512263
443	0.3556365947
444	0.3556230453
445	0.355603385
446	0.3555927179
447	0.3555757909
448	0.3555598036
449	0.3555400562
450	0.355525811
451	0.3555103059
452	0.3554903884
453	0.3554715365
454	0.3554575939
455	0.3554391232
456	0.3554266103
457	0.3554106144
458	0.3553959931
459	0.3553695343
460	0.3552834764
461	0.3552662401
462	0.3552479707
463	0.3552288113
464	0.3552012885
465	0.3551848743
466	0.3551684929
467	0.3551537134
468	0.3551388773
469	0.3551185484
470	0.3551041787
471	0.3550891886
472	0.3550736167
473	0.3548851793
474	0.3548698891
475	0.3548552486
476	0.3548404941
477	0.3548210438
478	0.3548044568
479	0.3547883462
480	0.3547705901
481	0.3547531159
482	0.3547382575
483	0.3547198158
484	0.3547058891
485	0.3546915327
486	0.3546787621
487	0.354659054
488	0.3546418413
489	0.3546194181
490	0.3546066648
491	0.3545800531
492	0.3545652182
493	0.3545504207
494	0.3545328358
495	0.354517582
496	0.3545028933
497	0.3544846375
498	0.3544702515
499	0.3544528957
500	0.3544357111
501	0.3544204284
502	0.3544017867
503	0.3543887936
504	0.3543746484
505	0.3543518899
506	0.3541229158
507	0.3541089473
508	0.3540964996
509	0.3540779577
510	0.3540639587
511	0.3540449953
512	0.3540331984
513	0.3540156681
514	0.353999228
515	0.3539831287
516	0.3539693416
517	0.3538292966
518	0.3538044898
519	0.3537886884
520	0.3537733474
521	0.3535161736
522	0.3534970147
523	0.3534824082
524	0.3534688062
525	0.3534478976
526	0.3534301708
527	0.3534142527
528	0.3533968552
529	0.3533799506
530	0.3533627188
531	0.3533355901
532	0.3533098767
533	0.3532888769
534	0.3532725618
535	0.353254093
536	0.353239296
537	0.3532262886
538	0.3532119534
539	0.3531944502
540	0.3531772566
541	0.35316252
542	0.3531463197
543	0.3531299548
544	0.3531148108
545	0.3531000031
546	0.3527503082
547	0.3527312815
548	0.3525924838
549	0.3525776512
550	0.3525626148
551	0.3525263006
552	0.3525038343
553	0.3524873403
554	0.3524697997
555	0.3524575855
556	0.3524404126
557	0.3524059796
558	0.3523868787
559	0.3523726178
560	0.3523563659
561	0.3523405213
562	0.3523290003
563	0.3523120798
564	0.3522932901
565	0.3522782546
566	0.3522620215
567	0.3522471967
568	0.3521499906
569	0.3521308681
570	0.352114145
571	0.3520966717
572	0.3520807729
573	0.3520585598
574	0.3520447694
575	0.3520282407
576	0.3520121469
577	0.3519870259
578	0.3519709285
579	0.3519585714
580	0.3519412518
581	0.3519275861
582	0.3519118705
583	0.3518964603
584	0.3518790831
585	0.3518677647
586	0.3518528116
587	0.3518372644
588	0.3518221956
589	0.3518091589
590	0.3517940494
591	0.3517809386
592	0.3517648885
593	0.3517477096
594	0.3516576178
595	0.3516358606
596	0.3516214731
597	0.3516058141
598	0.3515847885
599	0.3515698258
600	0.3515541981
601	0.3515385092
602	0.3515123145
603	0.3514973253
604	0.3514804746
605	0.3514589097
606	0.3514440189
607	0.35142671
608	0.3514108765
609	0.3512742826
610	0.3512589687
611	0.3512435318
612	0.3512276751
613	0.3512125838
614	0.3511974205
615	0.3510460368
616	0.3509859657
617	0.3509617455
618	0.3509447124
619	0.350927958
620	0.3509138298
621	0.3508998828
622	0.3508833016
623	0.3508670099
624	0.3508529082
625	0.3508378108
626	0.3508246482
627	0.3506986134
628	0.3506827156
629	0.3506687935
630	0.3506511586
631	0.3506318565
632	0.3506110385
633	0.3505954181
634	0.3505788714
635	0.35056295
636	0.3505471882
637	0.3505318423
638	0.3505060337
639	0.3504874437
640	0.3504688364
641	0.3504540919
642	0.3504392794
643	0.3504259035
644	0.350413014
645	0.3503966435
646	0.3503813289
647	0.3503634857
648	0.3503463578
649	0.3503262891
650	0.3503081542
651	0.3502890577
652	0.3502701475
653	0.3502525922
654	0.3502329973
655	0.3502181733
656	0.3502032176
657	0.3501875475
658	0.3501720998
659	0.3501590372
660	0.3500636473
661	0.350049636
662	0.3500303003
663	0.3500138352
664	0.3499998241
665	0.3499814156
666	0.3499642962
667	0.3499465572
668	0.3499309992
669	0.3499137026
670	0.3499007843
671	0.3498835107
672	0.3498710407
673	0.3498569349
674	0.3498438239
675	0.3498290128
676	0.3498136465
677	0.3497963323
678	0.3497764608
679	0.349759752
680	0.3497469289
681	0.3497317876
682	0.3497173563
683	0.349700931
684	0.349684835
685	0.3496240603
686	0.3496052057
687	0.3495819851
688	0.3495627824
689	0.349426719
690	0.349405227
691	0.3493913055
692	0.3493766624
693	0.3493593804
694	0.3493442095
695	0.3493273635
696	0.3493064156
697	0.3492874737
698	0.3492724511
699	0.3492566645
700	0.3492392535
701	0.3492246312
702	0.3492035622
703	0.3491866859
704	0.3491735663
705	0.3491599447
706	0.3491449103
707	0.3491295702
708	0.3491144313
709	0.3490973439
710	0.3490815339
711	0.3490681843
712	0.3490514095
713	0.3490310241
714	0.3490167869
715	0.3490007848
716	0.3489870925
717	0.3489710548
718	0.3489563558
719	0.348942286
720	0.3489261772
721	0.3489094578
722	0.3488947972
723	0.3488773798
724	0.3488648044
725	0.3488476756
726	0.348806031
727	0.3487898959
728	0.3487694183
729	0.348673722
730	0.3486569863
731	0.3486432619
732	0.3486286242
733	0.3486140206
734	0.3485991734
735	0.3484179923
736	0.3484031401
737	0.3483796159
738	0.3483626116
739	0.3483447912
740	0.3483285543
741	0.3483116411
742	0.3482946073
743	0.3482807783
744	0.3482648182
745	0.3482417329
746	0.3482260487
747	0.3482038705
748	0.3481889756
749	0.3481719358
750	0.3481461696
751	0.3481259286
752	0.3481100688
753	0.34809573
754	0.3480751605
755	0.3480603863
756	0.348043751
757	0.3480300242
758	0.3480146431
759	0.347994457
760	0.3479778512
761	0.3479556013
762	0.3479379292
763	0.347923111
764	0.3479074613
765	0.3478366582
766	0.347820464
767	0.3478049966
768	0.3477889793
769	0.3477715868
770	0.3477573661
771	0.3477424888
772	0.3477218815
773	0.3477077151
774	0.347692392
775	0.3476170191
776	0.3476007985
777	0.3475871347
778	0.3475677946
779	0.3475519666
780	0.3475393761
781	0.3474398136
782	0.3473482731
783	0.347334126
784	0.347320649
785	0.3473006875
786	0.3472872443
787	0.3472733861
788	0.3472563894
789	0.3472428282
790	0.3472280702
791	0.3472034353
792	0.3471828918
793	0.3471694039
794	0.3471542618
795	0.3471389452
796	0.3471238863
797	0.347109772
798	0.3470955727
799	0.3470505962
800	0.3470351315
801	0.3470207972
802	0.3470044884
803	0.3469914401
804	0.3469779862
805	0.3469634038
806	0.3469472199
807	0.3469332787
808	0.3469190333
809	0.3469025978
810	0.346885858
811	0.3468716989
812	0.3468572234
813	0.3468396344
814	0.3468204193
815	0.3468019889
816	0.3467860803
817	0.3467656324
818	0.3467488061
819	0.3467341847
820	0.3467207862
821	0.346707554
822	0.3466924256
823	0.3466754324
824	0.3466631883
825	0.3466476314
826	0.3466336731
827	0.3466179437
828	0.3466023932
829	0.3465871946
830	0.3465751839
831	0.3465592142
832	0.3465437598
833	0.3465296347
834	0.3465083147
835	0.346491479
836	0.346480104
837	0.3464663401
838	0.3464508019
839	0.3464346977
840	0.3464194662
841	0.3464048338
842	0.3463897685
843	0.3463764276
844	0.3463610288
845	0.346221272
846	0.3462048778
847	0.346192899
848	0.3461794511
849	0.3461664443
850	0.3461518932
851	0.3461398579
852	0.3461234737
853	0.3461022231
854	0.3460906142
855	0.3460737826
856	0.3460612123
857	0.3460390682
858	0.3460257533
859	0.345997721
860	0.3459843172
861	0.3459700205
862	0.3459548202
863	0.3459424685
864	0.3459269615
865	0.3459130747
866	0.3458932112
867	0.3458764437
868	0.3458586207
869	0.3458436495
870	0.3458201864
871	0.3458051056
872	0.3457903096
873	0.3457741628
874	0.3457601162
875	0.345744123
876	0.3457288238
877	0.3457118058
878	0.3456928234
879	0.345677465
880	0.3455497662
881	0.3455268831
882	0.3455116853
883	0.3455009925
884	0.3454842099
885	0.3454686084
886	0.3454548491
887	0.3454362312
888	0.3454201073
889	0.3454036239
890	0.3453893187
891	0.3453744967
892	0.3453558829
893	0.3453414382
894	0.3453255142
895	0.3453084871
896	0.345293245
897	0.3452802225
898	0.3452654436
899	0.3452474537
900	0.3452326583
901	0.345217759
902	0.3452023364
903	0.3451811141
904	0.3451659531
905	0.3451497627
906	0.3450359432
907	0.3450204367
908	0.3450063619
909	0.3449929278
910	0.3449797605
911	0.344966628
912	0.3449528064
913	0.3449303066
914	0.3449129939
915	0.3448985551
916	0.3448846583
917	0.3448682347
918	0.3448527936
919	0.3448377676
920	0.3448178527
921	0.3448010547
922	0.344785435
923	0.3447708324
924	0.3447544337
925	0.3447421334
926	0.3447289437
927	0.3447148217
928	0.3446994209
929	0.3446843326
930	0.3446679283
931	0.3446542054
932	0.3446025441
933	0.3445887467
934	0.3445729081
935	0.3445574991
936	0.3445440546
937	0.3445308233
938	0.3445135645
939	0.3444990444
940	0.3444815841
941	0.3444671554
942	0.3444513869
943	0.3444347067
944	0.3444187179
945	0.3444035531
946	0.3443821624
947	0.3443646893
948	0.3443489579
949	0.3443346991
950	0.3443183306
951	0.344297937
952	0.3442829471
953	0.344269218
954	0.3442553977
955	0.3442406027
956	0.3435917471
957	0.3435748524
958	0.3435627319
959	0.3435459073
960	0.3435313875
961	0.3435184828
962	0.3435027217
963	0.3434879992
964	0.343468859
965	0.3434560556
966	0.3434367627
967	0.3434034372
968	0.3433878487
969	0.3433714401
970	0.3433563084
971	0.3433376457
972	0.3433196799
973	0.3433049486
974	0.34328649
975	0.34326904
976	0.3432553104
977	0.3432420247
978	0.343227372
979	0.3432129928
980	0.3431963704
981	0.3431827604
982	0.3431657692
983	0.3431524755
984	0.3431385755
985	0.3431252502
986	0.3431095635
987	0.3430908829
988	0.3430753268
989	0.3430625514
990	0.3430475377
991	0.3430311998
992	0.3430127619
993	0.3429973422
994	0.3429806741
995	0.342967361
996	0.3429523161
997	0.3429340887
998	0.3429175347
999	0.3429044924
