Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Modus_Operandi_num_code,Time_Difference_Log
9700    WENDOVER                     DR,34.1235,-118.429,8,808,1,41,M,W,501,0.0,IC,Property Crimes,16.0,2020,11,5,27,4,8,3.2188758248682006
6000    VAN NUYS                     BL,34.1794,-118.4487,9,943,1,51,F,O,108,0.0,IC,Property Crimes,20.0,2020,8,2,18,1,3,3.2188758248682006
12000    STRATHERN                    ST,34.2157,-118.3948,16,1684,1,27,F,B,101,0.0,IC,Property Crimes,23.5,2020,8,2,11,1,2,3.2188758248682006
LEXINGTON                    AV,34.0926,-118.3363,6,663,1,31,F,A,102,400.0,AA,Violent Crimes,17.166666666666668,2020,11,2,24,1,8,3.2188758248682006
1100 E  VERNON                       AV,34.006,-118.2513,13,1346,1,44,M,H,122,506.0,IC,Property Crimes,1.4333333333333333,2020,6,5,27,5,1,0.0
ETON,34.2047,-118.5955,21,2136,1,34,M,H,102,400.0,IC,Violent Crimes,12.5,2020,12,6,20,6,6,0.0
11200    LA MAIDA                     ST,34.1584,-118.3746,15,1555,1,69,M,W,519,0.0,IC,Property Crimes,12.0,2020,11,1,12,5,2,7.130098510125578
4300 S  WESTERN                      AV,34.0052,-118.3089,3,395,1,36,M,H,102,312.0,IC,Violent Crimes,22.25,2020,10,6,11,6,10,0.0
11800    TEALE                        ST,33.9856,-118.4007,14,1465,2,0,X,X,710,0.0,IC,Fraud and White-Collar Crimes,12.0,2021,4,1,1,1,1,8.650499558724462
900 N  BROADWAY,34.0615,-118.2412,1,111,1,33,F,W,122,0.0,IC,Property Crimes,12.333333333333334,2020,11,6,15,6,5,0.0
15700    VANOWEN                      ST,34.1939,-118.4749,10,1039,1,0,,,101,0.0,IC,Property Crimes,8.5,2020,5,4,7,3,1,3.2188758248682006
41ST                         PL,34.0349,-118.2436,13,1307,2,52,M,H,101,400.0,IC,Violent Crimes,15.0,2020,3,0,7,5,5,3.8918202981106265
40TH                         PL,34.0101,-118.261,13,1343,1,0,,,101,0.0,IC,Property Crimes,14.5,2020,5,2,13,2,1,0.0
2200    COLORADO                     BL,34.1391,-118.2141,11,1115,1,0,X,X,406,0.0,IC,Property Crimes,18.516666666666666,2020,10,5,10,5,2,0.0
3500    MARMION                      WY,34.0871,-118.2141,11,1189,1,33,F,B,502,400.0,AO,Property Crimes,12.0,2020,8,2,25,5,3,6.645090969505644
800    MILLMARK GROVE               ST,33.7596,-118.2953,5,521,2,25,M,W,751,0.0,IC,Fraud and White-Collar Crimes,8.0,2022,9,1,12,2,1,9.823198981307291
8700    CEDROS                       AV,34.2265,-118.4565,19,1984,2,60,M,H,502,0.0,IC,Crimes against Public Order,0.5,2020,10,1,6,1,2,0.0
17400    RAINBOW RIDGE                CI,34.286,-118.5138,17,1715,1,49,M,A,501,0.0,IC,Property Crimes,17.6,2020,2,4,21,4,5,0.0
600 S  VIRGIL                       AV,34.0637,-118.287,20,2029,2,27,M,W,502,400.0,AA,Violent Crimes,2.6666666666666665,2020,4,6,26,6,9,0.0
3300 E  OLYMPIC                      BL,34.0191,-118.2083,4,497,1,22,M,H,210,0.0,IC,Property Crimes,4.5,2020,7,1,21,1,1,0.0
TARLETON                     ST,34.0245,-118.244,13,1317,1,48,F,O,101,0.0,IC,Property Crimes,11.716666666666667,2020,2,0,24,0,5,0.0
2900    LEEWARD                      AV,34.0587,-118.2869,20,2039,2,40,F,W,501,0.0,AO,Crimes against Public Order,9.5,2020,5,2,20,2,3,0.0
8600    BALBOA                       BL,34.2248,-118.5151,17,1795,1,34,M,H,101,0.0,IC,Property Crimes,8.833333333333334,2020,8,0,9,6,1,3.2188758248682006
LEIMERT                      BL,34.0054,-118.3297,3,393,1,32,M,B,101,0.0,IC,Property Crimes,15.0,2020,9,0,14,0,3,0.0
5200    KESTER                       AV,34.1649,-118.4574,9,952,1,0,,,123,0.0,IC,Property Crimes,11.0,2020,12,2,7,0,1,3.8918202981106265
13900    VANOWEN                      ST,34.1976,-118.4356,9,916,1,46,M,B,108,0.0,IC,Property Crimes,12.0,2020,5,4,18,5,1,6.175867270105761
600 N  PALOS VERDES                 ST,33.7478,-118.2817,5,558,1,0,,,108,0.0,IC,Property Crimes,21.0,2020,4,6,19,6,1,0.0
5600    IRVINGTON                    PL,34.1152,-118.1962,11,1118,2,18,F,H,501,400.0,AO,Violent Crimes,19.833333333333332,2020,12,4,11,4,4,0.0
11400    SANTA MONICA                 BL,34.0457,-118.4511,8,853,2,35,M,W,502,0.0,IC,Fraud and White-Collar Crimes,13.666666666666666,2020,11,1,15,6,1,3.8918202981106265
GRIFFITH                     AV,34.0224,-118.2564,13,1323,2,22,F,H,101,400.0,IC,Violent Crimes,9.666666666666666,2020,3,1,3,1,6,0.0
5900 S  HOOVER                       ST,33.9864,-118.2871,12,1239,1,24,F,H,101,0.0,IC,Property Crimes,18.0,2020,12,2,20,6,3,4.290459441148391
COMMONWEALTH,34.0667,-118.2857,20,2029,1,41,F,W,102,400.0,AO,Property Crimes,7.833333333333333,2020,12,1,15,1,7,0.0
AVENUE 26,34.0845,-118.2232,11,1177,2,53,M,H,801,400.0,IC,Violent Crimes,12.083333333333334,2020,8,2,12,2,6,0.0
SAN FERNANDO,34.1149,-118.2459,11,1124,2,40,F,B,801,400.0,IC,Violent Crimes,14.916666666666666,2020,12,3,24,3,5,0.0
400 E  109TH                        ST,33.9374,-118.2681,18,1844,1,37,F,B,502,0.0,IC,Property Crimes,11.5,2020,1,2,29,2,2,0.0
11500    AVIATION                     BL,33.9298,-118.3784,14,1499,2,34,M,W,501,400.0,IC,Violent Crimes,14.8,2020,10,2,28,2,2,0.0
8500    FOOTHILL                     BL,34.2597,-118.3179,16,1656,2,34,M,O,601,400.0,AA,Property Crimes,16.833333333333332,2020,2,4,21,4,2,0.0
1200 N  MCCADDEN                     PL,34.0926,-118.3375,6,663,1,32,M,W,123,0.0,IC,Property Crimes,0.08333333333333333,2020,6,5,13,5,4,5.820082930352362
107TH                        ST,33.9393,-118.2608,18,1834,1,0,,,101,0.0,IC,Property Crimes,18.5,2020,2,0,18,1,1,4.976733742420574
3600    WATSEKA                      AV,34.0288,-118.3996,14,1409,1,23,M,A,101,0.0,IC,Property Crimes,3.4,2020,1,4,17,4,3,0.0
2000    ALLESANDRO                   ST,34.0916,-118.2577,11,1173,1,0,,,101,0.0,IC,Property Crimes,3.0,2020,12,3,24,3,1,0.0
17500    MARGATE                      ST,34.1677,-118.5142,10,1067,1,0,,,101,0.0,IC,Property Crimes,18.0,2020,11,0,20,4,1,4.290459441148391
2000    OUTPOST                      DR,34.1146,-118.3607,6,622,1,36,F,W,101,0.0,IC,Property Crimes,8.833333333333334,2020,4,3,22,2,4,3.2188758248682006
6600    ALCOVE                       AV,34.1903,-118.4128,15,1512,2,39,F,W,501,511.0,AA,Crimes against Public Order,12.833333333333334,2020,6,4,26,4,3,0.0
TAMPA,34.1758,-118.5535,10,1041,2,16,M,W,101,0.0,AA,Fraud and White-Collar Crimes,12.333333333333334,2020,1,3,16,3,5,0.0
11000    HERSHEY                      ST,34.251,-118.3723,16,1665,2,28,F,A,122,0.0,IC,Property Crimes,3.0,2020,6,0,14,6,1,3.2188758248682006
13900    GILMORE                      ST,34.1876,-118.4356,9,926,2,69,M,W,243,0.0,IC,Fraud and White-Collar Crimes,14.25,2020,10,5,9,4,5,6.270988431858299
300 S  FIGUEROA                     ST,34.0542,-118.2566,1,141,2,47,F,H,503,400.0,IC,Violent Crimes,8.083333333333334,2020,8,1,11,1,3,0.0
18000    CALVERT                      ST,34.1819,-118.5252,10,1034,1,49,M,O,501,0.0,IC,Property Crimes,19.75,2020,6,5,13,5,5,0.0
800 N  LA BREA                      AV,34.0853,-118.3441,7,706,1,41,M,B,242,200.0,IC,Property Crimes,18.75,2020,5,1,5,1,6,0.0
100    CATAMARAN                    ST,33.9781,-118.4644,14,1452,2,30,F,W,502,400.0,IC,Property Crimes,23.0,2020,11,1,16,0,1,3.2188758248682006
700 W  81ST                         ST,33.9655,-118.2838,12,1266,1,27,F,B,122,0.0,IC,Property Crimes,19.0,2020,8,0,14,4,2,5.484796933490655
GRAND                        AV,34.0011,-118.2805,13,1361,1,0,,,101,0.0,IC,Property Crimes,12.0,2020,3,6,14,5,1,3.2188758248682006
HARTFORD                     AV,34.0573,-118.2634,2,248,1,28,M,H,101,302.0,IC,Violent Crimes,18.666666666666668,2020,9,2,16,2,7,0.0
1600    VINE                         ST,34.0987,-118.3337,6,646,1,64,F,O,101,0.0,IC,Property Crimes,23.0,2020,4,6,11,5,6,3.2188758248682006
3700    LEE                          ST,34.0219,-118.1923,4,479,2,76,F,H,504,0.0,IC,Crimes against Public Order,10.0,2020,7,0,27,0,4,0.0
600 S  VIRGIL                       AV,34.0634,-118.2871,20,2029,2,25,F,B,707,400.0,AO,Violent Crimes,15.0,2020,12,3,31,3,2,0.0
3700    BALDWIN                      ST,34.0704,-118.2013,4,424,2,5,F,B,501,511.0,IC,Crimes against Public Order,19.5,2020,9,2,16,2,5,0.0
13300    WOODBRIDGE                   ST,34.1475,-118.4225,9,989,1,0,,,108,0.0,IC,Property Crimes,10.0,2020,10,2,25,6,1,4.290459441148391
700 W  107TH                        ST,33.9391,-118.2869,18,1841,1,58,F,B,101,304.0,IC,Crimes against Public Order,11.333333333333334,2020,5,5,16,5,7,0.0
4700 N  MENDOTA                      AV,34.1179,-118.2129,11,1136,2,39,M,W,502,0.0,IC,Fraud and White-Collar Crimes,15.083333333333334,2024,1,2,3,4,2,10.342806433400801
ROSCOE,34.2442,-118.5362,17,1767,2,29,F,H,101,400.0,AA,Violent Crimes,6.0,2020,9,6,20,6,6,0.0
1600    ARLINGTON                    AV,34.0436,-118.3177,20,2081,2,25,M,B,122,0.0,IC,Property Crimes,2.0,2020,6,0,1,0,1,0.0
800 S  BERENDO                      ST,34.0578,-118.2941,20,2046,1,45,M,H,103,400.0,IC,Violent Crimes,3.75,2020,5,4,8,4,10,0.0
1400 E  53RD                         ST,33.9994,-118.2499,13,1365,1,35,F,H,501,400.0,AO,Violent Crimes,13.0,2020,1,6,19,6,5,0.0
1100 W  2ND                          ST,34.0609,-118.2535,2,239,2,0,M,W,122,0.0,IC,Property Crimes,8.233333333333333,2020,6,3,4,3,3,0.0
3100    WILSHIRE                     BL,34.0618,-118.2894,20,2038,2,27,M,A,502,400.0,AA,Violent Crimes,9.25,2020,11,2,25,2,4,0.0
800 W  3RD                          ST,33.7415,-118.295,5,557,2,63,F,H,501,400.0,AA,Violent Crimes,22.0,2020,7,0,13,0,7,0.0
2800    CANYON                       DR,34.1227,-118.3181,6,627,1,26,M,W,108,0.0,IC,Property Crimes,8.0,2020,8,5,13,0,5,6.124683390894205
600 E  83RD                         ST,33.9638,-118.2651,12,1269,1,33,M,H,108,0.0,IC,Property Crimes,2.0,2020,4,3,23,3,4,0.0
5400    HOLLYWOOD                    BL,34.1036,-118.3049,6,639,1,0,X,X,210,0.0,IC,Property Crimes,17.0,2020,11,0,23,0,2,0.0
9000    BARTEE                       AV,34.2341,-118.4153,19,1979,2,28,F,H,101,0.0,IC,Property Crimes,19.166666666666668,2020,6,0,29,0,2,0.0
HAMILTON,34.1909,-118.3654,15,1519,1,57,M,W,101,312.0,AO,Violent Crimes,23.416666666666668,2020,5,2,5,1,6,3.2188758248682006
LA SALLE                     AV,34.0291,-118.3054,3,326,1,0,,,101,0.0,IC,Property Crimes,10.0,2020,9,0,7,0,1,5.820082930352362
PARTHENIA,34.2283,-118.4611,19,1983,1,0,,,101,0.0,IC,Property Crimes,7.25,2020,2,5,29,5,1,0.0
500 E  89TH                         ST,33.9556,-118.2665,18,1805,2,35,M,H,501,0.0,IC,Fraud and White-Collar Crimes,21.416666666666668,2021,2,5,1,4,2,8.816556768641856
12400    FILMORE                      ST,34.2858,-118.4024,16,1602,1,37,M,H,101,400.0,AA,Violent Crimes,20.25,2020,11,2,18,2,7,0.0
18100    KILLION                      ST,34.1708,-118.5273,10,1075,1,35,F,A,101,0.0,IC,Property Crimes,19.0,2020,4,0,5,6,3,5.262690188904886
3100 S  NORMANDIE                    AV,34.0262,-118.3002,3,337,1,19,X,X,203,0.0,IC,Property Crimes,2.25,2020,6,1,2,1,7,0.0
17TH,33.7288,-118.299,5,563,2,31,F,H,122,0.0,IC,Property Crimes,0.016666666666666666,2020,9,4,25,4,2,0.0
500 W  61ST                         ST,33.9842,-118.2827,12,1239,1,24,M,H,101,109.0,IC,Property Crimes,17.75,2020,3,4,13,4,8,0.0
E  24TH                         ST,34.0206,-118.2541,13,1323,2,55,F,B,124,400.0,IC,Violent Crimes,21.0,2020,4,3,2,3,3,0.0
11100    CANTARA                      ST,34.2193,-118.3731,16,1687,1,39,M,H,501,306.0,IC,Violent Crimes,18.75,2020,8,6,16,6,2,0.0
1600    STAUNTON                     AV,34.0228,-118.2414,13,1317,1,0,X,X,203,0.0,IC,Property Crimes,4.5,2020,9,2,23,2,1,0.0
1600    GRIFFITH PARK                BL,34.091,-118.2775,11,1171,1,0,,,101,0.0,IC,Property Crimes,10.0,2020,10,1,25,6,1,3.8918202981106265
1600 N  MANDEVILLE CANYON            RD,34.0949,-118.5111,8,803,2,55,F,W,104,400.0,AO,Violent Crimes,10.666666666666666,2020,3,1,3,1,3,0.0
400 S  PACIFIC                      AV,33.7412,-118.2924,5,557,2,25,F,H,505,400.0,IC,Violent Crimes,8.0,2020,2,5,22,5,8,0.0
6400    FOOTHILL                     BL,34.2434,-118.2708,16,1669,1,0,,,101,0.0,IC,Property Crimes,7.0,2020,9,1,28,0,1,3.2188758248682006
14300    CHATSWORTH                   DR,34.2738,-118.4488,19,1944,2,39,M,H,501,0.0,IC,Fraud and White-Collar Crimes,13.0,2020,5,3,8,2,1,6.546785410760524
1000 E  WASHINGTON                   BL,34.0259,-118.2535,13,1313,1,46,M,H,108,0.0,IC,Property Crimes,18.0,2020,4,6,12,6,1,0.0
3300 S  MAIN                         ST,34.0194,-118.2722,13,1331,2,32,F,H,119,0.0,IC,Crimes against Public Order,17.25,2020,2,4,14,4,1,0.0
4900 W  20TH                         ST,34.0391,-118.3464,7,784,2,29,F,H,501,400.0,AO,Violent Crimes,3.966666666666667,2020,4,4,17,4,3,0.0
200 S  SPRING                       ST,34.0517,-118.2456,1,135,2,0,X,X,252,0.0,IC,Property Crimes,18.0,2020,6,0,29,4,3,4.290459441148391
PARK,34.0757,-118.2605,2,218,1,39,M,O,109,215.0,IC,Crimes against Public Order,20.5,2020,3,3,5,3,3,0.0
11100    CANTLAY                      ST,34.2021,-118.3725,15,1506,2,29,M,H,122,0.0,AA,Property Crimes,22.666666666666668,2020,10,4,1,3,2,3.2188758248682006
8300    RESEDA                       BL,34.2207,-118.5361,17,1794,1,54,F,O,203,0.0,IC,Property Crimes,17.0,2020,4,2,31,1,3,3.2188758248682006
2200    BELLEVUE                     AV,34.0736,-118.2682,2,216,2,38,M,H,502,400.0,AO,Violent Crimes,9.5,2020,12,2,23,2,5,0.0
8900    CAYUGA                       AV,34.2309,-118.3925,16,1672,1,0,,,101,0.0,IC,Property Crimes,4.0,2020,8,1,18,1,1,0.0
6700 N  LANKERSHIM                   BL,34.1921,-118.3877,15,1516,1,0,M,O,202,0.0,IC,Property Crimes,17.0,2020,6,0,1,0,5,0.0
300    HOLT                         AV,34.0736,-118.3785,7,721,2,52,M,O,501,0.0,IC,Fraud and White-Collar Crimes,17.116666666666667,2020,5,3,11,5,2,7.029087564149662
3000    BRIGHTON                     AV,34.0274,-118.3015,3,337,2,50,M,B,501,0.0,IC,Crimes against Public Order,13.0,2020,4,6,5,2,3,7.273092595999522
4300 S  FIGUEROA                     ST,34.0054,-118.2827,3,399,1,0,,,108,0.0,IC,Property Crimes,14.666666666666666,2020,1,1,28,1,1,0.0
8500    ALCOTT                       ST,34.0524,-118.3762,8,859,1,40,M,O,502,0.0,IC,Property Crimes,14.5,2020,7,3,29,2,5,3.2188758248682006
11900    NEENACH                      ST,34.2277,-118.3934,16,1682,2,51,M,H,501,0.0,IC,Crimes against Public Order,15.0,2021,2,2,28,5,1,7.573017256052546
73RD                         ST,33.9739,-118.2696,12,1258,2,57,M,B,102,400.0,AO,Violent Crimes,17.25,2020,12,4,4,4,7,0.0
1900 E  102ND                        ST,33.9443,-118.239,18,1827,2,0,X,X,704,0.0,IC,Property Crimes,12.416666666666666,2020,4,5,18,5,2,0.0
1800    ARGYLE                       AV,34.1037,-118.3252,6,637,2,0,X,X,152,0.0,IC,Crimes against Public Order,15.333333333333334,2020,8,1,18,1,1,0.0
12700    MILLENNIUM                   DR,33.9754,-118.4178,14,1464,1,58,M,W,120,0.0,IC,Property Crimes,12.0,2020,7,2,11,5,1,5.579729825986222
600 W  FLORENCE                     AV,33.979,-118.2839,12,1249,1,52,M,H,401,0.0,AO,Property Crimes,19.0,2020,2,5,1,5,3,0.0
11700    VICTORY                      BL,34.1867,-118.3878,15,1525,1,0,M,W,301,0.0,IC,Property Crimes,17.216666666666665,2020,2,0,29,2,1,6.124683390894205
6300    VARIEL                       AV,34.1845,-118.5928,21,2158,1,47,M,H,101,400.0,IC,Violent Crimes,7.5,2020,7,5,4,5,5,0.0
11600    VANPORT                      AV,34.282,-118.3944,16,1605,2,61,F,H,501,400.0,AO,Violent Crimes,12.0,2021,2,5,25,4,4,7.0909098220799835
1600 W  60TH                         PL,33.9851,-118.3046,12,1233,1,0,,,101,0.0,IC,Property Crimes,20.5,2020,1,1,27,0,1,3.2188758248682006
500 W  88TH                         ST,33.9574,-118.2847,18,1801,2,31,F,B,501,0.0,IC,Violent Crimes,20.0,2020,11,2,11,2,5,0.0
600 E  52ND                         PL,33.995,-118.2652,13,1373,2,0,F,H,101,106.0,IC,Crimes against Public Order,21.116666666666667,2020,9,5,19,5,3,0.0
800 N  KINGSLEY                     DR,34.0849,-118.3028,6,678,2,31,F,B,501,511.0,AA,Crimes against Public Order,20.166666666666668,2020,8,3,20,3,2,0.0
MAIN                         ST,34.0238,-118.2693,13,1331,1,45,M,B,101,114.0,AA,Violent Crimes,7.0,2020,8,5,29,5,5,0.0
VERMONT                      AV,34.0691,-118.2917,20,2019,1,0,X,X,101,0.0,AA,Property Crimes,9.25,2020,1,2,8,2,2,0.0
7000    CHIMINEAS                    AV,34.1975,-118.5284,10,1025,2,28,M,H,501,400.0,AO,Violent Crimes,0.8333333333333334,2020,1,6,12,6,2,0.0
13100    BRANFORD                     ST,34.2372,-118.4183,19,1979,1,0,,,101,0.0,IC,Property Crimes,19.083333333333332,2020,3,3,25,2,1,3.2188758248682006
OLYMPIC                      BL,34.0188,-118.1949,4,499,1,0,,,101,0.0,IC,Property Crimes,21.0,2020,6,4,18,3,1,3.2188758248682006
3100    8TH                          AV,34.0276,-118.326,3,335,2,15,F,H,501,0.0,IC,Fraud and White-Collar Crimes,11.833333333333334,2020,12,5,3,3,7,3.8918202981106265
21900    VANOWEN                      ST,34.1938,-118.6037,21,2156,1,21,M,X,404,0.0,IC,Property Crimes,12.0,2020,8,3,27,3,2,0.0
1500 S  WOOSTER                      ST,34.052,-118.383,8,859,1,0,,,101,0.0,AA,Property Crimes,19.0,2020,6,1,8,0,1,3.2188758248682006
7500    LEMP                         AV,34.2067,-118.3845,15,1505,1,0,,,101,0.0,IC,Property Crimes,20.883333333333333,2020,4,2,7,1,1,3.2188758248682006
3400    WHITTIER                     BL,34.0278,-118.201,4,478,1,0,X,X,203,0.0,IC,Property Crimes,16.2,2020,2,1,15,5,2,4.290459441148391
4900    SAN FERNANDO                 RD,34.1402,-118.2691,11,1102,1,0,,,108,0.0,IC,Property Crimes,8.0,2020,12,1,10,1,1,8.812992231969966
