Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Time_Difference_Log
21800    VENTURA                      BL,34.1684,-118.6021,21,2187,1,0913 2000 0408 0400 0448,33,F,H,505,400.0,AA,1,6.625,2020,12,2,23,2,0.0
17100    RINALDI                      ST,34.2793,-118.5053,17,1729,1,1202 0329 1501 1606,60,M,H,101,0.0,IC,0,47.7,2020,7,6,18,5,3.2188758248682006
4500 W  28TH                         ST,34.0311,-118.3411,3,332,2,0329 0416 0446 0448 1814 2000 2033,26,F,H,102,400.0,IC,1,32.33,2020,12,5,26,5,0.0
10900    HILLHAVEN                    AV,34.2675,-118.2894,16,1619,1,0334 1822,32,M,H,501,102.0,IC,2,59.49250000000001,2020,12,0,28,0,0.0
1900 S  PACIFIC                      AV,33.727,-118.288,5,567,2,0448 0913 1817 0522,52,F,W,501,400.0,AO,1,35.6425,2020,4,6,12,6,0.0
14000    MOORPARK                     ST,34.1504,-118.438,9,985,1,1300 0344,24,F,H,707,0.0,IC,0,53.795,2020,10,1,26,0,3.2188758248682006
1000 W  38TH                         ST,34.0168,-118.2915,3,379,1,0344 0385 1300 1606,41,F,H,101,0.0,IC,0,34.45,2020,1,2,14,1,3.2188758248682006
100 N  LOS ANGELES                  ST,34.0515,-118.2424,1,127,1,1415,0,M,X,753,400.0,IC,1,56.44499999999999,2020,9,0,6,6,3.2188758248682006
5500    KLUMP                        AV,34.17,-118.3752,15,1549,2,0377 1822 0924,32,F,W,502,0.0,IC,3,31.8,2020,9,1,8,1,5.1298987149230735
NEW HAMPSHIRE                AV,34.0727,-118.2929,20,2015,2,0329 1822,23,M,H,122,0.0,IC,0,50.35,2020,7,6,25,5,3.2188758248682006
KOHLER,34.0335,-118.2459,13,1307,1,0913 1218 0416 0344 2060,54,F,H,158,400.0,IC,0,3.4450000000000003,2020,9,5,26,5,0.0
13300    SAYRE                        ST,34.3235,-118.426,19,1906,2,2000 2038 1813,48,F,H,501,0.0,IC,2,5.3,2020,9,1,8,1,0.0
16700    CHATSWORTH                   ST,34.2647,-118.4959,17,1747,1,,0,,,707,0.0,IC,0,14.045000000000002,2020,9,1,22,1,0.0
10900    BLUFFSIDE                    DR,34.1412,-118.3681,15,1585,1,1300 0344,50,F,O,123,0.0,IC,0,59.095,2020,11,1,30,4,4.574710978503383
2800 N  BROADWAY,34.0762,-118.2119,4,415,1,1822 0329 0400 0416,55,M,H,301,500.0,IC,1,2.915,2020,12,1,8,1,0.0
VENICE,34.0472,-118.337,7,765,1,,0,,,108,0.0,IC,0,43.0625,2020,3,0,23,0,0.0
ROSCOE                       BL,34.2217,-118.4252,19,1988,1,385,44,F,H,101,0.0,IC,0,50.35,2020,4,1,14,1,0.0
D,33.7742,-118.262,5,525,2,0400 1822,33,M,H,802,500.0,IC,1,42.4,2020,9,1,8,1,0.0
1400    COLBY                        AV,34.0477,-118.4553,8,842,1,394,36,M,W,119,0.0,IC,0,47.7,2020,12,0,24,3,4.574710978503383
12100    VENTURA                      BL,34.1436,-118.3953,15,1591,2,329,0,M,O,403,0.0,IC,0,39.75,2020,5,0,4,0,0.0
2200 E  101ST                        ST,33.9449,-118.2356,18,1829,2,0329 1822 1300 1307,47,F,H,122,0.0,IC,0,45.182500000000005,2020,11,0,23,0,0.0
6700    CLEON                        AV,34.1922,-118.3681,15,1519,1,,0,,,502,0.0,IC,0,31.8,2020,2,4,31,4,5.820082930352362
1400 S  POINT VIEW                   ST,34.0522,-118.3699,7,762,1,0344 1606,48,F,B,108,0.0,IC,0,14.045000000000002,2020,2,2,19,2,0.0
14800    ROSCOE                       BL,34.2265,-118.4565,19,1984,1,0416 0429 0417 0906 1817 1218 0913 0344,49,M,A,502,400.0,IC,0,55.65,2020,2,1,24,0,3.2188758248682006
6500    CRENSHAW                     BL,33.9806,-118.3309,12,1241,1,0344 1822 0346 1300 0416,0,X,X,210,0.0,AA,0,32.065,2020,10,3,22,3,0.0
5900    ESTRELLA                     AV,33.9864,-118.2849,12,1239,2,329,0,F,H,101,106.0,IC,2,2.65,2020,12,2,29,1,3.2188758248682006
3500    WILSHIRE                     BL,34.0617,-118.3008,20,2034,2,1402 1822 0329 0202,0,X,X,210,0.0,IC,0,22.3925,2020,9,5,19,5,0.0
400 S  WESTLAKE                     AV,34.059,-118.2737,2,246,2,2000 2033 0913 1814,45,F,H,505,400.0,AO,1,0.026500000000000003,2020,10,3,8,3,0.0
LEIGHTON                     AV,34.0132,-118.2915,3,379,1,1609 1822 0344 0352 1307,21,F,B,101,0.0,IC,0,13.25,2020,7,1,28,1,0.0
FRANCES                      AV,33.9994,-118.4347,14,1445,1,0344 1300,50,M,W,504,0.0,IC,0,0.026500000000000003,2020,10,3,8,3,0.0
20900    ROSCOE                       BL,34.2234,-118.5932,21,2107,2,2000 0344 0400,38,F,H,222,400.0,AO,1,24.645000000000003,2020,4,4,17,4,0.0
HOLLYWOOD                    BL,34.1016,-118.3387,6,645,1,344,23,F,H,102,0.0,IC,0,31.8,2020,6,0,14,6,3.2188758248682006
9000    VAN NUYS                     BL,34.2331,-118.4502,19,1974,1,,0,,,101,0.0,IC,0,45.05,2020,7,6,11,5,3.2188758248682006
54TH                         ST,33.9934,-118.2739,13,1372,1,,0,,,101,0.0,IC,0,42.4,2020,2,4,6,3,3.2188758248682006
3200 W  6TH                          ST,34.0636,-118.2923,20,2027,1,0104 0325 0378 1822 2028,0,X,X,403,0.0,AA,0,21.729999999999997,2020,2,5,15,5,0.0
700 S  FLOWER                       ST,34.0477,-118.2597,1,162,1,0344 1822,0,M,W,405,0.0,IC,0,38.425,2020,12,1,29,1,0.0
3800    CRENSHAW                     BL,34.0126,-118.3403,3,363,1,,0,,,108,0.0,AA,0,27.825,2020,11,2,4,2,0.0
13500    VIA SANTA,34.3189,-118.3983,19,1909,2,1402,62,M,W,101,0.0,AA,5,56.44499999999999,2020,9,4,18,4,0.0
4200    EAGLE ROCK                   BL,34.1218,-118.2252,11,1136,1,,0,,,101,0.0,IC,0,0.159,2020,3,2,3,1,3.2188758248682006
9200 S  HOOVER                       ST,33.9528,-118.2869,18,1801,1,1822 0394 0344,58,F,H,104,0.0,IC,0,40.942499999999995,2020,6,2,16,1,3.2188758248682006
300 W  11TH                         ST,33.7342,-118.284,5,566,1,0344 0358 1605,21,M,H,502,0.0,IC,0,0.7949999999999999,2020,8,5,22,5,0.0
OSBORNE                      ST,34.2542,-118.4095,16,1653,1,0344 0394,56,F,W,203,0.0,IC,0,38.319,2020,8,0,3,0,5.1298987149230735
CENTURY,33.9456,-118.2652,18,1823,1,1311 1822 0605 0417 0344 1300,44,M,B,101,400.0,AO,0,53.397499999999994,2020,6,2,24,2,0.0
9200    LA SALLE                     AV,33.9527,-118.3057,12,1283,2,0329 1300,27,F,B,101,0.0,IC,0,45.845,2020,6,3,17,2,3.2188758248682006
HOLLYWOOD,34.1017,-118.3071,6,639,1,1822 1218 1238 0400 0416 0417 0429 0344 1313 0373,50,M,B,101,500.0,IC,0,42.5325,2020,11,1,17,1,0.0
15600    OLDEN                        ST,34.3195,-118.4716,19,1912,2,1402 0329 1307,72,M,H,108,0.0,AA,0,0.026500000000000003,2020,1,2,29,2,0.0
6000    PICKFORD                     ST,34.0483,-118.3722,7,762,2,1822 0930,35,F,W,750,0.0,IC,3,31.8,2021,6,5,24,3,8.354438940114811
700 S  OLIVE                        ST,34.0462,-118.2559,1,162,1,1822 0344,0,M,W,244,0.0,IC,0,42.4,2020,6,0,21,6,3.2188758248682006
ROSCOE                       BL,34.2217,-118.3965,16,1681,2,0913 2000 1312 1310 1302,32,F,H,108,0.0,IC,2,43.195,2020,12,4,11,4,0.0
2100 S  SEPULVEDA                    BL,34.0416,-118.4391,8,835,1,1822 0344 1402,50,M,H,203,0.0,IC,0,55.65,2020,6,0,15,0,0.0
1700 W  SLAUSON                      AV,33.9921,-118.3108,12,1213,1,1202 0344 0352,76,F,B,120,0.0,IC,0,39.75,2021,3,1,29,0,8.683554728631462
6100    DE SOTO                      AV,34.1818,-118.5904,21,2158,1,1607 0344,47,M,W,203,0.0,IC,0,53.0,2021,1,0,19,5,5.953243334287785
3700    SANTA ROSALIA                DR,34.0077,-118.3383,3,363,2,1259 1251 0522 0551 1822,16,M,H,203,400.0,IC,1,39.75,2020,1,1,12,6,3.8918202981106265
6100 N  SEPULVEDA                    BL,34.1807,-118.4662,9,932,1,1300 1606 1822 0443 1414 0444 0344,38,M,H,108,400.0,AA,0,34.8475,2020,10,2,7,2,0.0
12800    ENCINITAS                    AV,34.3024,-118.477,19,1921,1,,0,,,101,0.0,IC,0,32.595,2020,9,5,26,5,0.0
6300    LONGVIEW                     AV,34.1077,-118.3267,6,626,2,0329 1300 1609 1822,27,F,B,101,0.0,IC,0,6.095,2020,7,6,26,6,0.0
3200    LARGA                        AV,34.1123,-118.2536,11,1133,2,0923 1822,84,M,W,501,0.0,IC,3,31.8,2020,2,5,13,3,5.37989735354046
5600    SEPULVEDA                    BL,34.1721,-118.4662,9,941,2,0329 1609,68,M,O,719,0.0,IC,0,45.05,2020,1,0,10,4,4.290459441148391
00    25TH                         AV,33.9824,-118.4693,14,1441,1,344,35,F,O,504,0.0,IC,0,47.7,2020,12,2,15,1,3.2188758248682006
4000    COCO                         AV,34.0136,-118.3501,3,362,2,1202 1309 1238 0913 1810 0416 0446 0444,64,M,B,502,400.0,AO,1,0.7949999999999999,2020,10,6,25,6,0.0
00    PALOMA                       AV,33.9938,-118.4784,14,1412,1,0344 0394,37,F,W,145,0.0,IC,0,35.4305,2020,6,1,12,4,4.574710978503383
60TH                         ST,33.9851,-118.287,12,1239,1,0906 1816 0319 0431 0419 0448 0421 0432 0913,33,F,B,101,512.0,IC,1,25.175,2020,5,0,25,0,0.0
6500 S  SEPULVEDA                    BL,33.975,-118.4002,14,1466,2,329,0,X,X,212,0.0,IC,0,55.65,2020,1,0,19,6,3.2188758248682006
REDONDO,34.0534,-118.3471,7,745,1,1300 1309 1601 1402,44,F,B,102,0.0,IC,0,16.165,2020,11,2,25,2,0.0
700 S  MAIN                         ST,34.0437,-118.2518,1,174,2,2000 1814 0400,58,F,B,502,400.0,IC,1,22.26,2020,12,1,15,1,0.0
1200 W  39TH                         ST,34.0155,-118.2975,3,377,2,0419 0416 0446 0913 0448 1309,31,F,B,101,400.0,IC,1,21.2,2020,4,3,9,3,0.0
2400    LOUELLA                      AV,33.9958,-118.4479,14,1443,1,,0,,,101,0.0,AO,0,59.095,2020,8,6,29,5,3.2188758248682006
700 N  ALEXANDRIA                   AV,34.0836,-118.2978,2,201,1,,0,,,101,0.0,IC,0,40.942499999999995,2020,2,3,13,3,0.0
500 S  CATALINA                     ST,34.0654,-118.2954,20,2027,1,1822 1607 0321 0344 0352 1221,60,F,H,502,0.0,IC,0,37.1,2020,3,1,3,1,0.0
TRUESDALE                    ST,34.2398,-118.4003,16,1663,2,0601 0913 0554 2004,21,M,H,501,0.0,IC,2,59.519,2020,3,1,17,1,0.0
3200    MOTOR                        AV,34.0238,-118.4066,14,1407,2,329,74,M,W,203,0.0,IC,0,11.66,2020,3,0,14,5,3.8918202981106265
1500 E  21ST                         ST,34.0197,-118.2474,13,1327,2,329,43,F,B,502,0.0,IC,0,61.745000000000005,2020,5,5,21,3,3.8918202981106265
600 W  101ST                        ST,33.9446,-118.2864,18,1821,2,2000 0913 0443 0422 2038,29,F,H,501,511.0,IC,2,32.9925,2020,8,0,10,0,0.0
BANNER,34.0917,-118.3244,6,666,1,0400 0416 1822 0443,45,M,H,101,310.0,IC,2,31.8,2020,7,4,31,4,0.0
8000    LANGDON                      AV,34.216,-118.4678,19,1991,1,385,47,F,H,101,0.0,IC,0,45.845,2020,5,1,18,0,3.2188758248682006
9400 S  MAIN                         ST,33.9507,-118.2739,18,1822,2,1822 2002 0416 0429,57,M,H,101,400.0,IC,1,0.53,2020,12,6,13,6,0.0
5500    WILSHIRE                     BL,34.0623,-118.3483,7,745,1,0358 0344,47,F,W,221,0.0,IC,0,31.8,2020,5,3,17,1,7.455298485683291
1800 W  52ND                         ST,33.9951,-118.3089,12,1213,2,2000 1243 1813 0913 0416 0446,18,F,B,501,400.0,AO,1,19.7425,2020,1,3,23,3,0.0
6500    HOMEWOOD                     AV,34.0952,-118.3332,6,666,1,0344 1300 1822,39,M,A,101,0.0,IC,0,58.3,2020,7,0,19,6,3.2188758248682006
9000    CEDROS                       AV,34.2336,-118.4535,19,1974,2,1814 0444 2000,29,F,B,502,400.0,AO,1,5.3,2020,9,2,16,2,0.0
17900    BURBANK                      BL,34.1722,-118.522,10,1045,1,1822 0344 0394,34,M,O,502,0.0,IC,0,23.85,2020,1,4,11,5,4.976733742420574
900 W  80TH                         ST,33.9667,-118.2893,12,1266,2,0329 1822,32,F,H,122,0.0,IC,0,0.026500000000000003,2020,2,1,18,1,0.0
900    FEDORA                       ST,34.0545,-118.2976,20,2045,1,0913 2000 1813 0408 0344 0416,26,F,H,502,400.0,AO,1,10.9975,2020,7,5,25,5,0.0
MAXELLA                      AV,33.986,-118.4428,14,1444,1,1407 1309 1310 1822 1100 0450,0,X,X,101,109.0,IC,1,59.75749999999999,2020,9,5,5,5,0.0
600 N  MANHATTAN                    PL,34.0817,-118.3102,20,2002,1,1609 1822 0342 0202 0358 0335,0,X,X,239,0.0,IC,0,0.026500000000000003,2020,6,0,1,0,0.0
10000 N  SEPULVEDA                    BL,34.2539,-118.4675,19,1952,2,2038 1501 0913,40,M,H,502,0.0,AA,2,31.8,2020,7,5,30,1,5.579729825986222
6900    AGNES                        AV,34.1958,-118.3954,15,1514,2,329,27,M,W,101,0.0,IC,0,39.75,2020,10,5,17,5,0.0
4700    COLISEUM                     ST,34.0179,-118.3492,3,362,1,2000 1814 0416 0446 0334 0421 1419 1407 1402 0913,42,F,H,502,400.0,AO,1,55.65,2020,6,5,7,6,4.976733742420574
SAN JULIAN,34.0369,-118.2522,13,1303,1,0913 2004 0500 2000 0448 0416 1402,39,F,B,101,400.0,IC,1,7.95,2020,8,5,15,5,0.0
800 S  WESTGATE                     AV,34.0473,-118.4768,8,831,1,0344 1822 0201 1420,40,F,W,707,0.0,IC,0,17.0925,2020,12,0,7,0,0.0
3700    STEPHEN M WHITE              DR,33.7111,-118.2865,5,589,2,1822 2003 1402 0416 1218 2004,34,M,H,109,400.0,AO,1,19.61,2020,6,0,8,0,0.0
14500    SHERMAN                      CI,34.1994,-118.4493,9,914,2,0400 2000 1813,19,F,W,502,400.0,AO,1,29.15,2020,1,1,28,1,0.0
8500    SUNLAND                      BL,34.2309,-118.3727,16,1675,2,0421 1822,54,M,O,301,511.0,IC,2,29.282500000000002,2020,8,4,14,4,0.0
1500 N  SERRANO                      AV,34.0981,-118.3071,6,649,2,0913 0400 0448 0401 1820,43,F,W,501,500.0,IC,1,54.192499999999995,2020,4,3,16,3,0.0
10700 W  VENTURA                      BL,34.1379,-118.3641,15,1596,2,0400 0416 0356 2004,0,M,W,101,400.0,IC,1,3.1799999999999997,2020,7,3,23,3,0.0
13400    FOOTHILL                     BL,34.3034,-118.4257,19,1918,2,2038,30,F,W,501,0.0,AO,2,21.5975,2020,4,0,6,0,0.0
18900    INGOMAR                      ST,34.212,-118.5454,10,1001,2,0416 0913 0602 0555,43,F,H,501,400.0,AO,1,42.4,2020,6,6,21,6,0.0
400 N  AVENUE 52,34.1107,-118.2027,11,1137,2,0533 1258,14,F,W,501,0.0,IC,1,0.026500000000000003,2020,11,1,1,0,8.348774539791274
10200    DEMPSEY                      AV,34.2555,-118.4772,17,1759,2,0913 1810 0444,33,M,B,501,400.0,AO,1,27.295,2020,4,5,25,5,0.0
7200 S  SAN PEDRO                    ST,33.9713,-118.2739,12,1258,1,,0,,,101,0.0,IC,0,45.845,2020,5,0,24,6,3.2188758248682006
200 S  JUANITA                      AV,34.0704,-118.2898,20,2019,2,0913 2004 2000 0416 1814 0447 1218,24,F,W,102,400.0,IC,1,56.44499999999999,2020,5,4,8,4,0.0
4000 W  29TH                         ST,34.0295,-118.3305,3,334,1,0344 0394,26,M,H,119,0.0,IC,0,34.8475,2020,5,4,25,0,4.574710978503383
3100    HYDE PARK                    BL,33.9806,-118.3279,12,1241,2,329,32,F,B,101,0.0,IC,0,3.4450000000000003,2020,7,4,3,4,0.0
5300    2ND                          AV,33.9951,-118.3193,12,1211,2,1202 2004 0400 0416 0913,67,M,B,101,400.0,IC,1,50.35,2020,3,2,4,2,0.0
2300    WARWICK                      AV,34.072,-118.1662,4,439,1,,0,,,101,0.0,IC,0,2.65,2020,12,0,28,0,0.0
18400    HART                         ST,34.1975,-118.5348,10,1025,1,1237 0334 1822,30,M,B,239,102.0,AO,2,46.375,2020,7,1,14,1,0.0
LORENA,34.0239,-118.2034,4,488,2,0329 1270 0906 1402 0311,0,M,X,102,500.0,AA,0,61.745000000000005,2020,1,1,28,1,0.0
9500    BANDERA                      ST,33.9508,-118.2396,18,1827,2,1300 1822 0432 0421,31,M,H,104,511.0,IC,2,34.45,2020,8,5,22,5,0.0
3100 W  FLORENCE                     AV,33.9746,-118.3272,12,1251,2,1822 1309 0421,35,M,H,101,511.0,AA,2,16.695,2020,5,4,29,4,0.0
6600    CORBIN                       AV,34.1958,-118.5666,21,2149,1,0344 0913,67,M,W,501,0.0,IC,0,34.45,2020,3,0,17,0,5.820082930352362
9200    SHIRLEY                      AV,34.2374,-118.558,17,1764,1,0325 1402 0352 1300 0216 0202,0,X,X,203,0.0,JA,0,43.195,2020,11,5,28,5,0.0
15700    LEADWELL                     ST,34.2039,-118.4749,10,1018,1,,0,,,101,0.0,AA,0,55.65,2020,11,5,13,4,3.2188758248682006
16600    VICTORY                      BL,34.1939,-118.4967,10,1028,1,,0,,,101,0.0,IC,0,47.7,2020,4,1,13,0,3.2188758248682006
3300    LONGRIDGE                    AV,34.1304,-118.4172,9,998,1,0344 0394 1420,34,M,W,119,0.0,IC,0,32.065,2020,8,0,9,6,3.2188758248682006
1100 S  BEVERLY                      DR,34.0564,-118.3962,8,857,2,0344 1309,0,X,X,203,0.0,AA,3,31.8,2020,12,0,31,4,8.09101504171053
8600    WYNGATE                      ST,34.2583,-118.3219,16,1656,2,0329 1307 1609,45,F,F,122,0.0,IC,0,34.8475,2020,10,4,5,0,4.574710978503383
1400 N  MANSFIELD                    AV,34.0962,-118.3405,6,645,2,2000 0416,25,F,W,502,400.0,AO,1,51.145,2020,10,3,8,3,0.0
13000    OXNARD                       ST,34.1794,-118.4162,9,939,2,0400 0416 2024 1259 0342,14,M,H,721,400.0,IC,1,29.68,2020,1,4,17,4,0.0
4000 W  3RD                          ST,34.069,-118.301,20,2023,1,1822 0329 0344 2004,55,M,H,108,0.0,AA,0,34.98,2020,11,2,4,2,0.0
WESTERN,33.7978,-118.3076,5,509,1,1300 1609 1307 0344 1206 0358 1302,55,F,W,108,0.0,IC,0,55.65,2020,3,6,29,5,3.2188758248682006
11100    BALBOA                       BL,34.2757,-118.5144,17,1729,1,0325 1300 0202,0,X,X,404,0.0,IC,0,55.65,2020,11,0,28,5,3.8918202981106265
100    BLOOM                        ST,34.0652,-118.2306,1,118,2,0603 0421,25,F,H,502,511.0,AO,2,17.225,2020,1,3,16,3,0.0
7400    VINELAND                     AV,34.2027,-118.3745,15,1506,1,0416 0913 1817,19,M,H,502,102.0,AO,1,23.85,2020,3,3,26,3,0.0
1400 N  MANSFIELD                    AV,34.0962,-118.3405,6,645,2,329,41,M,W,108,0.0,IC,0,34.45,2020,3,3,24,1,3.8918202981106265
VAN NUYS                     BL,34.1817,-118.4487,9,935,2,444,66,F,W,102,400.0,IC,1,45.4475,2020,4,1,6,0,3.2188758248682006
PICO                         BL,34.0473,-118.2891,20,2079,1,1822 2032 0344,55,F,H,108,0.0,IC,0,34.45,2020,3,5,28,5,0.0
18500    LANARK                       ST,34.2175,-118.5361,10,1003,1,0344 1606 1822 1420 0314,56,M,H,501,0.0,IC,0,34.715,2020,7,1,7,1,5.1298987149230735
7400    IRVINE                       AV,34.2048,-118.3856,15,1505,1,,0,,,101,0.0,IC,0,10.6,2020,11,0,9,0,0.0
1000    DUNDAS                       ST,34.0497,-118.1961,4,449,1,,0,,,101,0.0,IC,0,45.05,2020,10,3,30,2,3.2188758248682006
HOLLYWOOD,34.1016,-118.3433,6,645,2,0400 0416 1822,52,F,O,101,400.0,IC,1,37.365,2020,1,6,12,6,0.0
JEFFERSON                    BL,34.0255,-118.2937,3,338,1,,0,,,101,0.0,IC,0,37.1,2020,7,1,30,1,5.1298987149230735
300 S  ALEXANDRIA                   AV,34.0691,-118.2979,20,2025,2,2002 0913 0416 0446 0429 1202,63,F,H,101,400.0,AA,1,56.709999999999994,2020,5,4,29,4,0.0
11200    SARDIS                       AV,34.0296,-118.4306,14,1403,1,1606 0344 1300,33,F,H,502,0.0,IC,0,16.695,2020,11,4,18,2,3.8918202981106265
DENVER,33.9783,-118.2838,12,1249,2,1402,0,X,X,101,0.0,AA,5,3.5775,2020,12,0,21,0,0.0
500 S  BARRINGTON                   AV,34.0604,-118.4684,8,827,1,1202 0321 0344 0352 1822 1420,82,M,W,123,0.0,IC,0,51.145,2020,11,6,7,5,3.2188758248682006
600    VENICE                       BL,33.9896,-118.4618,14,1443,1,344,34,F,W,212,0.0,IC,0,23.85,2020,4,2,1,2,0.0
12900    FOOTHILL                     BL,34.2938,-118.4155,16,1601,1,0344 0321 1607,33,M,H,213,0.0,IC,0,6.784000000000001,2020,9,3,10,3,0.0
BROADWAY,33.9456,-118.2784,18,1822,1,1822 1302 1307 0329 0344 0345,39,M,H,101,0.0,IC,0,5.83,2020,7,3,30,3,0.0
300 E  CENTURY                      BL,33.9456,-118.2695,18,1823,1,,0,,,104,0.0,IC,0,51.675,2020,10,3,28,2,3.2188758248682006
4000    URSULA                       AV,34.0127,-118.3525,3,361,1,2000 1813 0913 1243 0448,17,F,H,502,400.0,AA,1,58.3,2021,2,6,25,2,7.482681828154651
800 S  HOBART                       BL,34.0577,-118.3053,20,2033,1,0913 0302 0416 0432 0446 0449 1276 1814 2000 1402,29,F,H,501,102.0,AA,1,56.44499999999999,2020,1,2,7,1,3.2188758248682006
6600    DREXEL                       AV,34.0693,-118.3706,7,722,2,2038 0913 0361,24,M,W,501,0.0,AO,2,43.195,2020,5,4,1,4,0.0
1400 W  65TH                         ST,33.9806,-118.3003,12,1245,2,0329 1307 1609,22,M,H,101,0.0,IC,0,62.275,2020,4,0,12,6,3.2188758248682006
2100    BENECIA                      AV,34.0527,-118.4211,8,836,1,1202 0358 0344 1822,62,F,O,101,0.0,IC,0,13.25,2020,1,3,21,1,3.8918202981106265
5700 W  3RD                          ST,34.0689,-118.344,7,736,2,1501,33,F,H,707,0.0,IC,2,0.1325,2020,2,2,26,2,0.0
2900 S  RIDGELEY                     DR,34.0266,-118.3637,3,311,2,0100 0930 1822,42,F,B,502,0.0,IC,3,23.85,2021,7,3,21,4,8.92757950384347
MARENGO                      ST,34.0606,-118.2144,4,443,2,1307 0329 2004,0,M,W,101,0.0,IC,0,27.295,2020,11,4,20,4,0.0
3800 W  MONT CLAIR                   ST,34.0328,-118.323,3,314,1,,0,,,101,0.0,IC,0,47.7,2020,10,3,7,2,3.2188758248682006
73RD                         ST,33.9737,-118.2827,12,1256,1,0344 0329 1822 2004,42,F,H,101,0.0,IC,0,38.2925,2021,1,3,7,1,9.080801000621198
12000    MAGNOLIA                     BL,34.1649,-118.3943,15,1545,1,0397 0344,40,M,W,707,0.0,IC,0,14.442499999999999,2020,4,3,29,2,3.2188758248682006
1100 W  WASHINGTON                   BL,34.0423,-118.2804,2,295,1,,0,,,101,0.0,IC,0,48.8925,2020,10,3,8,3,0.0
1200 S  LAKE                         ST,34.0493,-118.2828,2,281,2,1813 0913 2000 0444 0446 0416 1814,56,F,W,502,400.0,IC,1,34.45,2020,1,1,14,1,0.0
CARMELINA                    AV,34.029,-118.4541,8,881,1,0913 1817 1309 1312 0416 1218 0319,47,M,H,101,307.0,AO,1,40.545,2020,2,2,26,2,0.0
15200    SUTTON                       ST,34.1496,-118.4647,9,981,1,0344 1300,26,F,W,103,0.0,IC,0,47.7,2020,6,3,23,1,3.8918202981106265
10000 S  WESTERN                      AV,33.9455,-118.309,12,1283,2,0913 0522 0552 1259,17,F,H,501,400.0,IC,1,0.026500000000000003,2020,6,2,20,0,6.963189985870238
23200    VANOWEN                      ST,34.1937,-118.6327,21,2142,2,0444 0416 1813 2000,44,F,O,501,400.0,AA,1,1.431,2020,6,2,17,2,0.0
VINELAND,34.1867,-118.3703,15,1527,1,325,0,M,O,404,0.0,AA,0,57.1075,2020,2,3,27,3,0.0
18500    SOPHIA                       LN,34.1669,-118.5356,10,1063,1,0352 1822 0344 1300 0216 1606,39,M,W,104,0.0,IC,0,37.1,2020,4,2,20,0,3.8918202981106265
RESEDA                       BL,34.2011,-118.536,10,1024,1,0344 1822 0400 0448 0443,51,M,H,101,400.0,IC,0,51.145,2020,11,6,8,6,0.0
10400    ANTWERP                      ST,33.9417,-118.2486,18,1836,2,0913 1202 0408,63,M,B,502,400.0,IC,1,22.3925,2020,4,0,13,0,0.0
